SL.NO,NAME,DESIGNATION,Scopus_Link,WOS_Link,Scopus_ID,WOS_ID
1,Dr. Pooja .M.R,Professor& Head,https://www.scopus.com/authid/detail.uri?authorId=57190388894,https://www.webofscience.com/wos/author/record/364060,57190388894,NA
2,Dr. K. Paramesha,Professor,https://www.scopus.com/authid/detail.uri?authorId=57053407100,https://www.webofscience.com/wos/author/record/2039501,57053407100,NA
3,Dr. C Balarengadurai,Professor,https://www.scopus.com/authid/detail.uri?authorId=57204777085,https://www.webofscience.com/wos/author/record/1335664,57204777085,NA
4,Dr. Aditya C R,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57216440090,https://www.webofscience.com/wos/author/record/2848343,57216440090,NA
5,Dr. Natesh. M,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57216492647,https://www.webofscience.com/wos/author/record/2199859,57216492647,NA
6,Dr. Ramakrishna Hegde,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=56242461400,https://www.webofscience.com/wos/author/record/851367,56242461400,NA
7,Dr. Janhavi.V,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57190803068,https://www.webofscience.com/wos/author/record/2040582,57190803068,NA
8,Dr. Ayesha Taranum,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57216610861,,57216610861,NA
9,Dr. Prasad M R,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=56492215200,,56492215200,NA
10,Dr. Hamsaveni M,Asst. Prof.,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=ff00aae3a0aef9cbdce26caa697592a9&sot=al&sdt=al&sl=88&s=AUTHLASTNAME%28Hamsaveni%29+AND+AUTHFIRST%28M%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Hamsaveni&st2=M&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=2dcd189aa9175a7492590f87d294f09a,,NA,NA
11,Shraddha .C,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57215538430,,57215538430,NA
12,Dr. Chethana  H T,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57216492613,https://www.webofscience.com/wos/author/record/2048558,57216492613,NA
13,Dr. Divya C D,Assoc. Prof.,https://www.scopus.com/authid/detail.uri?authorId=56584466200,https://www.webofscience.com/wos/author/record/2337218,56584466200,NA
14,Sachin D N,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57207254227,https://www.webofscience.com/wos/author/record/2039552,57207254227,NA
15,Nithin Kumar,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57209158237,https://www.webofscience.com/wos/author/record/2506455,57209158237,NA
16,Shashank N,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57219547732,,57219547732,NA
17,Harshitha K,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57215871380,,57215871380,NA
18,Chaya Kumari H A,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57212135510,https://www.webofscience.com/wos/author/record/2039504,57212135510,NA
19,Anusha K S,Asst. Prof,https://www.scopus.com/authid/detail.uri?authorId=57225657708,,57225657708,NA
20,Swathi B H,Asst. Prof,https://www.scopus.com/authid/detail.uri?authorId=57215871749,https://www.webofscience.com/wos/author/record/79477,57215871749,NA
21,Tanuja K,Asst. Prof,https://www.scopus.com/authid/detail.uri?authorId=57222076412,,57222076412,NA
22,Bhavya B G,Asst. Prof,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=7ac2f683ac5b5cc58bb15dd78bebeb3d&sot=al&sdt=al&sl=87&s=AUTHLASTNAME%28Bhavya%29+AND+AUTHFIRST%28B+G%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Bhavya&st2=B+G&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=1b1764c1ea7396bc80f178d83e37072d,,NA,NA
23,Pruthvi P R,Asst. Prof,https://www.scopus.com/results/authorNamesList.uri?sort=count-f&src=al&affilName=Vidyavardhaka+College+of+Engineering&sid=fc16fc837c582296ca2a113db4e21c82&sot=al&sdt=al&sl=88&s=AUTHLASTNAME%28Pruthvi%29+AND+AUTHFIRST%28P+R%29+AND+AFFIL%28Vidyavardhaka+College+of+Engineering%29&st1=Pruthvi&st2=P+R&orcidId=&selectionPageSearch=anl&reselectAuthor=false&activeFlag=true&showDocument=false&resultsPerPage=20&offset=1&jtp=false&currentPage=1&previousSelectionCount=0&tooManySelections=false&previousResultCount=0&authSubject=LFSC&authSubject=HLSC&authSubject=PHSC&authSubject=SOSC&exactAuthorSearch=false&showFullList=false&authorPreferredName=&origin=searchauthorfreelookup&affiliationId=&txGid=161526e013ea7a6f27602585325eeff0,,0,NA
24,Gaurav P R,Asst. Prof.,,,NA,NA
25,Kavana M D,Asst. Prof.,,,NA,NA
26,Manasvi J Maasthi,Asst. Prof.,https://www.scopus.com/authid/detail.uri?authorId=57215872514,,57215872514,NA
